Department of Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Form No: APF 1.8,
Master Time Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revision No: 0,
Sem  ,1,Academic Year 2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date : 01/07/2009,
Time Day,Monday,,,,,,Tuesday,,,,,,Wednesday,,,,,,Thrusday,,,,,,Friday,,,,,,Saturday,,,,,
,SE,,TE,,BE,,SE,,TE,,BE,,SE,,TE,,BE,,SE,,TE,,BE,,SE,,TE,,BE,,SE,,TE,,BE,
08.0009.00,,,,,,,,,A 302,Apti,,,,,,,,,,,,,,,,,,,,,A 202,DS,A 302,CNT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Gaikwad Sir,,,,,,,,,,,,,,,,,,,,,,MSK,,NPP,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.0010.00,A 202,PSOP,,,,,,,A 302,Apti,A202 A102,CC/UE,A 202,CLL,A 302,SE,,,,,A 302,DBMS,A202 A102,CC/UE,,,A 302,ESD,A202 A102,CC/UE,A 202,PSOP,A 302,CNT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JVB,,,,,,,,Gaikwad Sir,,PSW/YDD,,JG,,JVB,,,,,,SBP,,PSW/YDD,,,,VAM,,PSW/YDD,,JVB,,NPP,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0010.30,SHORT BREAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3011.30,A 202,DS,A1,Sport,A 302,ML,A 202,DS,A1,DMSL,A 302,ML,A 202,FDS,A 302,WT,A1,SL-4,A1,Sport,A 302,TOC,A1,PW,A 202,PSOP,A1,SL-1,A 302,ICS,A 202,FDS,CLASS TEST,,CLASS TEST,
,,,,,,,,,A 104,SBP,,,,,,,A 105,PSW,,,,,A 203,,,,A 204,NPP,,,,,,,,
,MSK,,A2,DMSL,LAK,,MSK,,A2,SL-1,LAK,,SGD,,LAK,,A2,PW,A2,DEL,SMK,,A2,PW,JVB,,A2,SL-1,MSK,,SGD,,,,,
,,,A 105,SMK,,,,,A 204,NPP,,,,,,,A 203,,C 305,KAK,,,A 203,,,,A 105,QJ,,,,,,,,
11.3012.30,A 202,FDS,A3,SL-1,A 302,BI,A 202,FDS,A3,ESDL,A 302,SMD,A 202,PSOP,A 302,DBMS,A3,SL-4,A3,PL,A 302,WT,A3,SL-3,A 202,DELD,A3,DMSL,A 302,ML,A 202,CO,,,,
,,,A 104,QJ,,,,,B 105,VAM,,,,,,,A 104,PMS,A 106,SGD,,,A 204,MSK,,,A 104,SBP,,,,,,,,
,SGD,,A4,ESDL,SBP,,SGD,,A4,SL-1,PMS,,JVB,,SBP,,A4,SL-3,A4,DEL,LAK,,A4,SL-4,KAK,,A4,Sport,LAK,,QJ,,,,,
,,,B 203C,VAM,,,,,A 105,QJ,,,,,,,A 204,MSK,A 205,PSW,,,A 104,PMS,,,,,,,,,,,,
12.3001.15,LONG BREAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.1502.15,A 202,DELD,A 302,SE,A1,SL-3,A 202,DELD,A 302,TOC,A1,SL-3,A 202,DS,A1,ESDL,A 302,ML,A 202,CO,A1,DMSL,A 302,ICS,A 202,DS,A 302,TOC,A1,SL-4,,,,,,
,,,,,A 105,MSK,,,,,A 105,LAK,,,B 305,VAM,,,,,A 104,SBP,,,,,,,A 104,PMS,,,,,,
,KAK,,JVB,,A2,SL-4,KAK,,SMK,,A2,SL-3,MSK,,A2,DMSL,LAK,,QJ,,A2,ESDL,MSK,,MSK,,SMK,,A2,SL-3,,,,,,
