Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Form No: APF 1.8,,,,
Master Time Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revision No: 0,,,,
Semester : I,,Academic Year 2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w.e.f. Date : 22/06/2015,,,,,Date : 01/07/2009,,,,
Period/ Days,Monday,,,,,,,,,,,,,,,,,,Tuesday,,,,,,,,,,,,,,,,,,Wednesday,,,,,,,,,,,,,,,,,,Thursday,,,,,,,,,,,,,,,,,,Friday,,,,,,,,,,,,,,,,,,Saturday,,,,,,,,,,,,,,,,,,
,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,
8.00AM-9.00AM,A1,DEL,B101,DSPS,,,A1,PL1,B301,TOC,,,B201,PW,B1,PW,,,A1,SSL,B101,DSPS,,,A1,PL1,B301,TOC,,,B201,DAA,B1,CL1,,,B101,DSPS,B1,DSPSL,,,A1,PL2,B301,DBMS,,,B201,PW,B1,CL1,,,,,B1,MAL,,,A1,ESDL,B301,DCWN,,,B201,SSDA,B1,CL2,,,A1,DSPSL,B101,SS,,,A1,PL2,B301,DCWN,,,,,B1,CL2,,,B101,MA,B201,MA,B202,MA,B001,Microsoft IT Academy/ Guest Lecture,B001,Microsoft IT Academy/ Guest Lecture,B001,Microsoft IT Academy/ Guest Lecture,B301,Infosys Campus Connect,B301,Infosys Campus Connect,B301,Infosys Campus Connect,
,A205,NRK,,,,,B302,MPK,,,,,,,B105,,,,A206,NND,,,,,B302,MPK,,,,,,,B204A,LAD,,,,,A106,SGW,,,B203A,RGM,,,,,,,B204A,PRR,,,,,B103,AVD,,,B203B,KDB,,,,,,,B105,NSB,,,B104,FMI,,,,,B203A,RGM,,,,,,,B105,NSB,,,,,,,,,,,,,,,,,,,,,
,A2,DSPSL,SGW,,,,A2,PL1,PBB,,,,,,B2,CL1,,,A2,DSPSL,SGW,,,,A2,ESDL,PBB,,,,VVM,,B2,CL2,,,SJT,,B2,SSL,,,A2,PL2,RNB,,,,,,B2,CL2,,,,,B2,DSPSL,,,A2,PL1,PPW,,,,AVP,,B2,PW,,,A2,OSAL,JAG,,,,A2,PL2,PPW,,,,,,B2,CL1,,,AVD,,VSG,,BSK,,,,,,,,,,,,,,
,B103,SJT,,,,,B303,SAT,,,,,,,B204A,VVM,,,B103,SJT,,,,,B304,KDB,,,,,,,B105,VAM,,,,,A206,NND,,,B203B,NNS,,,,,,,B105,NSB,,,,,B104,SGW,,,B303,SAT,,,,,,,B204A,,,,B304,PVK,,,,,B203B,NNS,,,,,,,B204A,VVM,,,,,,,,,,,,,,,,,,,,,
9.00AM-10.00AM,A3,OSAL,B101,DS,,,A3,PL2,B301,FCA,,,B201,SSDA,B3,CL2,B202,PW,A3,DSPSL,B101,DS,,,A3,PL1,B301,FCA,,,B201,PMCD,B3,CL2,,,B101,DS,B3,MAL,,,A3,ESDL,B301,TOC,,,B201,SSDA,B3,PW,,,B101,DSPS,B3,SSL,,,A3,PL2,B301,DBMS,,,B201,PMCD,B3,CL1,,,A3,DEL,B101,DS,,,A3,PL1,B301,DBMS,,,,,B3,CL1,B201,PW,B101,MA,B201,MA,B202,MA,,,,,,,Campus Connect Team,,Campus Connect Team,,Campus Connect Team,,
,B304,PVK,,,,,B203A,PPW,,,,,,,B203C,NSB,,,B203A,FMI,,,,,B303,SAT,,,,,,,B203C,NSB,,,,,B103,AVD,,,B305,KDB,,,,,,,B304,,,,,,A206,NND,,,B203A,RGM,,,,,,,B305,PRR,,,A205,NRK,,,,,B303,SAT,,,,,,,B305,PRR,,,,,,,,,,,,,,,,,,,,,
,A4,SSL,FMI,,,,A4,PL2,NNS,,,,AVP,,B4,CL1,,,A4,DEL,JAA,,,,A4,PL2,NNS,,,,MPM,,B4,CL1,,,FMI,,B4,OSAL,,,A4,PL1,PBB,,,,AVP,,B4,CL2,,,SJT,,B4,DEL,,,A4,PL1,RNB,,,,MPM,,B4,CL2,,,A4,MAL,JAA,,,,A4,ESDL,RNB,,,,,,B4,PW,,,AVD,,VSG,,BSK,,,,,,,,,,,,,,
,A206,NND,,,,,B203B,RGM,,,,,,,B305,PRR,,,A205,NRK,,,,,B203B,RGM,,,,,,,B305,PRR,,,,,B303,PVK,,,B302,MPK,,,,,,,B203C,PDM,,,,,A205,NRK,,,B302,MPK,,,,,,,B203C,PDM,,,B103,AVD,,,,,B302,KDB,,,,,,,B203C,,,,,,,,,,,,,,,,,,,,,,
10.00AM-10.30AM,MENTOR BREAK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.30AM-11.30AM,A102,OSA,B1,DEL,B001,DS,B101,TOC,B1,PL1,B202,DCWN,A1,CL2,B201,PMCD,B301,DAA,B001,DS,B1,OSAL,A102,DSPS,B101,OSD,B1,PL2,B301,TOC,A1,CL1,B201,PMCD,B202,SSDA,B001,MA,A102,DSPS,C1,OSAL,B101,TOC,B1,ESDL,B301,TOC,A1,PW,B202,PMCD,B201,DAA,A102,DELD,B1,SSL,B001,DS,B101,DBMS,B1,PL1,A002,APT,B301/B204B,DMTA/IP,B202/B204B,DMTA/IP,B201/B204B,DMTA/IP,A1,OSAL,A102,MA,C1,DEL,A002,APT,B1,PL2,B001,FCA,B301/B101,DMTA/IP,B202/B101,DMTA/IP,B201/B101,DMTA/IP,B101,DELD,,,,,B001,ESDL,B001,ESDL,B001,ESDL,B301,Infosys Campus Connect,B301,Infosys Campus Connect,B301,Infosys Campus Connect,
,,,A205,GCS,,,,,B302,RNB,,,B105,PDM,,,,,,,B103,PVK,,,,,B203B,PPW,,,B305,YKS,,,,,,,,,B103,BSK,,,B203B,SBT,,,B204A,,,,,,,,A206,NND,,,,,B302,RNB,,,,,,,,,B305,PVK,,,A205,GCS,,,B203B,PPW,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PVK,,B2,MAL,FMI,,SAT,,B2,PL1,AAB,,A2,CL1,AKB,,YKS,,FMI,,B2,DSPSL,APK,,KDB,,B2,PL2,PBB,,A2,PW,AKB,,NSB,,AVD,,SGW,,C2,DSPSL,SAT,,B2,PL2,PBB,,A2,CL2,AKB,,YKS,,NRK,,B2,OSAL,FMI,,MPK,,B2,ESDL,ARG,,LAD/PRR,,SRR/PRR,,SBT/PRR,,A2,MAL,VSG,,C2,SSL,ARG,,B2,PL1,VAMI,,LAD/PRR,,SRR/PRR,,SBT/PRR,,NRK,,,,,,SBT,,SBT,,SBT,,,,,,,,
,,,B103,AVD,,,,,B303,PBB,,,B305,LAD,,,,,,,B104,SRR,,,,,B203A,AAB,,,B204A,,,,,,,,,,B104,SRR,,,B203A,PPW,,,B105,PDM,,,,,,,B304,BSK,,,,,B105,NNS,,,,,,,,,B103,AVD,,,A206,NND,,,B303,PBB,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.30AM-12.30PM,A102,DSPS,B3,DSPSL,B001,SS,B101,OSD,B3,PL2,B202,OSD,A3,PW,B201,DAA,B301,SSDA,B001,SS,B3,DEL,A102,OSA,B101,TOC,B3,PL1,B301,OSD,A3,CL2,B201,SSDA,B202,PMCD,B001,DELD,A102,MA,C3,DEL,B101,FCA,B3,PL1,B301,OSD,A3,CL2,B202,DAA,B201,PMCD,A102,OSA,B3,DSPSL,B001,DELD,B101,DCWN,B3,PL2,A002,APT,B301/B204B,PC/MNLP,B202/B204B,PC/MNLP,B201/B204B,PC/MNLP,A3,DSPSL,A102,DSPS,C3,OSAL,A002,APT,B3,ESDL,B001,DCWN,B301/B101,PC/MNLP,B202/B101,PC/MNLP,B201/B101,PC/MNLP,B101,DELD,,,,,B001,ESDL,B001,ESDL,B001,ESDL,Campus Connect Team,,Campus Connect Team,,Campus Connect Team,,
,,,B104,SRR,,,,,B203A,VAMI,,,B204A,,,,,,,,A205,GCS,,,,,B303,MPK,,,B203C,AVP,,,,,,,,,A205,GCS,,,B303,MPK,,,B203C,AVP,,,,,,,B104,SRR,,,,,B203A,VAMI,,,,,,,,,B203A,SJT,,,B304,BSK,,,B105,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SJT,,B4,DSPSL,SHK,,KDB,,B4,PL2,SRS,,A4,CL2,LAB,,NSB,,SHK,,B4,DSPSL,VSG,,SAT,,B4,ESDL,SRS,,A4,CL1,NSB,,AKB,,NRK,,VSG,,C4,SSL,NNS,,B4,PL1,SRS,,A4,CL1,LAB,,AKB,,PVK,,B4,MAL,GCS,,RGM,,B4,PL2,ARG,,KDB/PDM,,VAM/PDM,,KRP/PDM,,A4,DSPSL,SGW,,C4,DSPSL,ARG,,B4,PL1,AAB,,KDB/PDM,,VAM/PDM,,KRP/PDM,,NRK,,,,,,SBT,,SBT,,SBT,,,,,,,,
,,,A106,SGW,,,,,B203B,PPW,,,B304,AVP,,,,,,,A106,SGW,,,,,B302,NNS,,,B304,VVM,,,,,,,,,A206,SHK,,,B302,RNB,,,B304,VVM,,,,,,,B103,AVD,,,,,B203B,PPW,,,,,,,,,B104,FMI,,,B203C,APK,,,B302,RNB,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.30PM-1.15PM,LUNCH BREAK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
